entry_time,entry_time_utc,entry_hour_local,exit_time,exit_time_utc,direction,entry_price,exit_price,entry_reason,exit_reason,pnl_usd,pnl_pct,duration_minutes,position_size_usd
2025-09-20 05:45:00,2025-09-19 22:45:00,5,2025-09-20 06:00:00,2025-09-19 23:00:00,short,0.8692,0.875719,Close (0.869200) > Upper BB (0.868176),Stop Loss hit (0.75%),-7.5,-3.0,15.0,1000.0
2025-09-20 06:00:00,2025-09-19 23:00:00,6,2025-09-20 06:15:00,2025-09-19 23:15:00,short,0.8819,0.888514,Close (0.881900) > Upper BB (0.879557),Stop Loss hit (0.75%),-7.4438,-3.0,15.0,992.5
2025-09-21 07:15:00,2025-09-21 00:15:00,7,2025-09-21 07:45:00,2025-09-21 00:45:00,short,1.7432,1.62557,Close (1.743200) > Upper BB (1.741620),Exit at BB Middle,66.471,26.9917,30.0,985.06
2025-09-22 07:30:00,2025-09-22 00:30:00,7,2025-09-22 07:45:00,2025-09-22 00:45:00,long,1.322,1.312085,Close (1.322000) < Lower BB (1.358887),Stop Loss hit (0.75%),-7.8865,-3.0,15.0,1051.53
2025-09-22 07:45:00,2025-09-22 00:45:00,7,2025-09-22 08:30:00,2025-09-22 01:30:00,long,1.3298,1.45205,Close (1.329800) < Lower BB (1.339380),Exit at BB Middle,95.9431,36.7724,45.0,1043.64
2025-09-23 08:00:00,2025-09-23 01:00:00,8,2025-09-23 08:15:00,2025-09-23 01:15:00,long,1.5014,1.49014,Close (1.501400) < Lower BB (1.506927),Stop Loss hit (0.75%),-8.5469,-3.0,15.0,1139.58
2025-09-24 08:15:00,2025-09-24 01:15:00,8,2025-09-24 09:00:00,2025-09-24 02:00:00,short,2.1096,2.125422,Close (2.109600) > Upper BB (2.095478),Stop Loss hit (0.75%),-8.4828,-3.0,45.0,1131.04
2025-09-26 06:15:00,2025-09-25 23:15:00,6,2025-09-26 06:30:00,2025-09-25 23:30:00,long,1.8787,1.86461,Close (1.878700) < Lower BB (1.893365),Stop Loss hit (0.75%),-8.4192,-3.0,15.0,1122.55
2025-09-26 07:30:00,2025-09-26 00:30:00,7,2025-09-26 07:45:00,2025-09-26 00:45:00,long,1.827,1.813298,Close (1.827000) < Lower BB (1.843374),Stop Loss hit (0.75%),-8.356,-3.0,15.0,1114.13
2025-09-26 08:30:00,2025-09-26 01:30:00,8,2025-09-26 08:45:00,2025-09-26 01:45:00,long,1.7756,1.762283,Close (1.775600) < Lower BB (1.784003),Stop Loss hit (0.75%),-8.2933,-3.0,15.0,1105.78
2025-09-27 07:45:00,2025-09-27 00:45:00,7,2025-09-27 08:00:00,2025-09-27 01:00:00,short,2.0994,2.115146,Close (2.099400) > Upper BB (2.091413),Stop Loss hit (0.75%),-8.2311,-3.0,15.0,1097.49
2025-09-28 07:00:00,2025-09-28 00:00:00,7,2025-09-28 07:15:00,2025-09-28 00:15:00,long,1.8791,1.865007,Close (1.879100) < Lower BB (1.895059),Stop Loss hit (0.75%),-8.1694,-3.0,15.0,1089.25
2025-09-28 07:15:00,2025-09-28 00:15:00,7,2025-09-28 08:00:00,2025-09-28 01:00:00,long,1.8797,1.865602,Close (1.879700) < Lower BB (1.886035),Stop Loss hit (0.75%),-8.1081,-3.0,45.0,1081.09
2025-09-30 07:30:00,2025-09-30 00:30:00,7,2025-09-30 08:15:00,2025-09-30 01:15:00,short,1.9451,1.959688,Close (1.945100) > Upper BB (1.933283),Stop Loss hit (0.75%),-8.0473,-3.0,45.0,1072.98
2025-09-30 08:15:00,2025-09-30 01:15:00,8,2025-09-30 09:45:00,2025-09-30 02:45:00,short,1.9636,1.92336,Close (1.963600) > Upper BB (1.949923),Exit at BB Middle,21.8236,8.1972,90.0,1064.93
2025-10-01 05:30:00,2025-09-30 22:30:00,5,2025-10-01 05:45:00,2025-09-30 22:45:00,long,1.5851,1.573212,Close (1.585100) < Lower BB (1.593799),Stop Loss hit (0.75%),-8.1506,-3.0,15.0,1086.75
